HJD,UT Date,Camera,Filter,FWHM,Limit,Mag,Mag Error,Flux (mJy),Flux Error
2459475.06337,2021-09-17.5594234,bB,g,2.0,15.499,10.282,0.002,280.016,0.459
2459476.65128,2021-09-19.1472564,br,g,1.46,15.325,10.060,0.002,343.509,0.538
2459476.82476,2021-09-19.3207252,bB,g,2.21,16.265,10.125,0.001,323.707,0.226
2459480.66552,2021-09-23.1613223,br,g,1.48,15.78,9.783,0.001,443.516,0.354
2459481.90155,2021-09-24.3973126,bB,g,2.13,15.868,9.952,0.001,379.613,0.327
2459484.06866,2021-09-26.5643349,bB,g,2.02,16.773,10.046,0.0,347.96,0.142
2459484.77539,2021-09-27.2710415,bB,g,2.04,17.499,10.035,0.0,351.68,0.073
2459485.6231,2021-09-28.1187244,br,g,1.57,15.008,10.481,0.003,233.15,0.721
2459486.62235,2021-09-29.1179430,br,g,1.5,15.251,10.239,0.002,291.314,0.577
2459487.00783,2021-09-29.5034035,bB,g,2.02,16.555,9.972,0.001,372.429,0.173
2459487.86582,2021-09-30.3613755,bB,g,2.01,17.025,10.035,0.0,351.722,0.113
2459488.63774,2021-10-01.1332622,br,g,1.48,15.43,10.122,0.002,324.617,0.489
2459489.76863,2021-10-02.2641157,bB,g,2.01,16.124,10.154,0.001,314.995,0.258
2459490.67937,2021-10-03.1748336,br,g,1.64,15.938,9.933,0.001,386.198,0.306
2459490.87161,2021-10-03.3670674,bB,g,2.02,17.826,10.028,0.0,353.957,0.054
2459491.78681,2021-10-04.2822401,bB,g,2.01,17.177,10.051,0.0,346.374,0.098
2459492.60606,2021-10-05.1014663,br,g,1.52,15.545,10.053,0.001,345.742,0.44
2459493.87428,2021-10-06.3696635,bB,g,2.0,17.267,10.034,0.0,351.913,0.09
2459494.63303,2021-10-07.1283986,br,g,1.48,16.542,9.865,0.0,411.138,0.175
2459497.85278,2021-10-10.3480908,br,g,1.37,16.118,9.792,0.001,439.9,0.259
2459498.60125,2021-10-11.0965445,br,g,1.71,16.212,9.786,0.001,442.22,0.238
2459498.82145,2021-10-11.3167369,bB,g,2.03,16.651,10.065,0.001,342.134,0.159
2459500.97451,2021-10-13.4697709,bB,g,2.04,17.195,10.043,0.0,348.964,0.096
2459501.59146,2021-10-14.0867105,br,g,1.47,16.335,9.827,0.001,425.635,0.212
2459504.73336,2021-10-17.2285791,bB,g,2.06,16.428,10.053,0.001,345.749,0.195
2459505.62398,2021-10-18.1191972,br,g,1.46,16.157,9.806,0.001,434.097,0.25
2459505.78529,2021-10-18.2805061,bB,g,2.02,15.165,10.340,0.003,265.433,0.624
2459507.56637,2021-10-20.0615755,br,g,2.03,16.058,9.851,0.001,416.581,0.274
2459509.58578,2021-10-22.0809785,br,g,1.54,15.311,9.954,0.002,378.796,0.545
2459509.97312,2021-10-22.4683166,bB,g,2.2,16.02,10.129,0.001,322.397,0.284
2459510.58553,2021-10-23.0807210,br,g,1.54,15.859,9.872,0.001,408.638,0.329
2459511.58081,2021-10-24.0760078,br,g,1.48,15.821,9.913,0.001,393.305,0.341
2459511.87374,2021-10-24.3689489,bB,g,2.07,16.39,10.023,0.001,355.615,0.202
2459512.59116,2021-10-25.0863704,br,g,1.42,16.339,9.803,0.001,435.385,0.212
2459512.78766,2021-10-25.2828656,bB,g,2.11,17.18,10.042,0.0,349.261,0.098
2459513.60586,2021-10-26.1010634,br,g,1.4,16.116,9.787,0.001,441.798,0.26
2459514.57496,2021-10-27.0701703,br,g,1.54,15.6,10.049,0.001,346.983,0.418
2459514.77504,2021-10-27.2702486,bB,g,2.07,16.421,9.963,0.001,375.624,0.196
2459515.97425,2021-10-28.4694731,bB,g,2.09,16.37,9.955,0.001,378.365,0.206
2459516.56561,2021-10-29.0608399,br,g,1.77,16.576,9.821,0.0,428.078,0.17
2459517.57077,2021-10-30.0660076,br,g,1.57,16.217,9.789,0.001,440.869,0.237
2459518.5741,2021-10-31.0693462,br,g,1.63,16.835,9.864,0.0,411.518,0.134
2459519.76152,2021-11-01.2567805,bB,g,2.04,16.625,9.974,0.0,371.832,0.163
2459520.63764,2021-11-02.132925,br,g,1.48,16.172,9.800,0.001,436.552,0.247
2459522.84096,2021-11-04.3362784,bB,g,2.06,16.551,9.972,0.001,372.59,0.174
2459523.59273,2021-11-05.0880591,br,g,1.57,16.299,9.809,0.001,433.123,0.219
2459524.55841,2021-11-06.0537515,br,g,2.38,16.722,9.868,0.0,409.933,0.149
2459525.54654,2021-11-07.0419085,br,g,2.26,16.967,9.856,0.0,414.573,0.119
2459525.94858,2021-11-07.4439556,bB,g,2.05,16.796,10.003,0.0,361.977,0.139
2459526.5534,2021-11-08.0487964,br,g,1.66,16.739,9.871,0.0,409.016,0.146
2459526.75203,2021-11-08.2474223,bB,g,2.05,16.594,9.975,0.0,371.719,0.167
2459529.69587,2021-11-11.1913496,bB,g,2.04,16.006,10.096,0.001,332.387,0.287
2459530.75448,2021-11-12.2499840,bB,g,2.0,15.118,10.426,0.003,245.304,0.652
2459531.57044,2021-11-13.0659707,br,g,1.7,16.305,9.796,0.001,438.074,0.218
2459533.60777,2021-11-15.1033711,br,g,1.49,15.916,9.750,0.001,457.086,0.312
2459535.56542,2021-11-17.0610771,br,g,1.43,15.969,9.788,0.001,441.595,0.298
2459538.57966,2021-11-20.0754400,br,g,2.36,16.112,9.890,0.001,401.737,0.261
2459539.58335,2021-11-21.0791642,br,g,1.46,15.983,9.917,0.001,391.978,0.294
2459540.91147,2021-11-22.4073526,bB,g,2.08,16.186,10.121,0.001,324.928,0.244
2459542.87653,2021-11-24.3724905,bB,g,2.01,17.022,10.045,0.0,348.335,0.113
2459543.62286,2021-11-25.1188521,br,g,1.47,14.897,10.616,0.004,205.797,0.799
2459543.91475,2021-11-25.4107619,bB,g,2.15,17.096,10.036,0.0,351.257,0.105
2459544.84757,2021-11-26.3436192,bB,g,2.01,17.152,10.027,0.0,354.156,0.1
2459546.7265,2021-11-28.2226467,bB,g,2.02,16.322,9.939,0.001,383.958,0.215
2459547.59906,2021-11-29.0952434,br,g,1.47,16.3,9.799,0.001,436.817,0.219
2459547.89466,2021-11-29.3908604,bB,g,2.15,16.926,10.045,0.0,348.221,0.123
2459548.73293,2021-11-30.2291759,br,g,1.45,16.424,9.820,0.0,428.763,0.196
2459551.60548,2021-12-03.1018802,br,g,1.43,16.058,9.785,0.001,442.619,0.274
2459552.54152,2021-12-04.0379846,br,g,1.42,16.164,9.796,0.001,437.985,0.249
