JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456239.8545679,1228.9000,1.0434,8.7360,0.0009,14.6662,2.29,V,G,bb
2456242.8316405,1232.3486,1.0510,8.7329,0.0009,14.6583,2.16,V,G,bb
2456449.1081442,820.4725,0.4104,9.1746,0.0005,15.6793,2.11,V,G,bb
2456452.0883654,812.8279,0.3824,9.1848,0.0005,15.7560,2.02,V,G,bb
2456454.0835161,315.8163,1.0760,10.2112,0.0037,14.6328,1.99,V,B,bb
2456458.0543497,752.8926,0.2132,9.2679,0.0003,16.3902,1.80,V,G,bb
2456462.0552468,812.2743,0.3888,9.1855,0.0005,15.7381,1.76,V,G,bb
2456463.0534367,810.8850,0.3798,9.1874,0.0005,15.7634,1.69,V,G,bb
2456464.062027,827.0826,0.4191,9.1659,0.0006,15.6567,1.73,V,G,bb
2456465.0671577,826.4755,0.4245,9.1667,0.0006,15.6426,1.77,V,G,bb
2456466.0556427,609.6834,0.6759,9.4970,0.0012,15.1377,1.98,V,B,bb
2456470.0125039,597.2392,0.6187,9.5194,0.0011,15.2337,1.74,V,G,bb
2456471.0248986,625.7037,0.5656,9.4689,0.0010,15.3311,1.98,V,G,bb
2456472.0230541,636.8041,0.5369,9.4498,0.0009,15.3877,2.06,V,G,bb
2456473.0400812,783.7440,0.2941,9.2243,0.0004,16.0412,2.09,V,G,bb
2456474.042529,689.7692,0.4125,9.3630,0.0007,15.6738,1.69,V,G,bb
2456475.0589435,657.1203,0.4909,9.4157,0.0008,15.4848,1.72,V,G,bb
2456476.054627,852.5054,0.4908,9.1330,0.0006,15.4851,1.63,V,G,bb
2456477.0459252,670.1033,0.4640,9.3944,0.0008,15.5460,1.71,V,G,bb
2456478.0278862,645.3633,0.5313,9.4353,0.0009,15.3990,1.70,V,G,bb
2456479.0548614,704.4115,0.3710,9.3402,0.0006,15.7890,1.71,V,B,bb
2456479.9886596,828.8922,0.4260,9.1635,0.0006,15.6389,1.76,V,G,bb
2456481.0439754,573.9981,0.7708,9.5625,0.0015,14.9951,2.02,V,B,bb
2456482.0824213,686.9247,0.4191,9.3675,0.0007,15.6566,1.74,V,G,bb
2456483.1027776,668.7478,0.4748,9.3966,0.0008,15.5210,2.08,V,B,bb
2456484.9829302,813.2050,0.3823,9.1843,0.0005,15.7564,2.04,V,G,bb
