,name,ra,dec,app_mag,app_mag_flag,redshift_flag,redshift,object_type
,NGC  185,00 38 57.4,+48 20 14,14.84,V,,0.0,S2
,M 31,00 42 44.3,+41 16 10,10.57,V,,0.0,S2
,NGC 3031,09 55 33.2,+69 03 55,11.63,V,,0.0,S3b
,NGC 4736,12 50 52.7,+41 07 10,10.85,V,,0.001,S
,NGC 4826,12 56 43.9,+21 41 00,12.14,V,,0.001,S
,NGC 5253,13 39 56.0,-31 38 24,13.16,V,,0.001,H2
,NGC  253,00 47 33.2,-25 17 17,13.97,V,,0.001,S
,NGC  625,01 35 05.1,-41 26 11,14.18,V,,0.001,H2
,SDSS J14023+5420,14 02 21.0,+54 20 04,18.25,V,,0.001,S1
,NGC 5128,13 25 28.0,-43 01 00,12.76,V,,0.001,B?
,Circinus,14 13 09.8,-65 20 17,12.1,V,,0.001,S1h
,NGC 4552,12 35 40.0,+12 33 23,11.2,V,,0.001,S2
,NGC  404,01 09 27.1,+35 43 05,11.73,V,,0.001,S3
,NGC 4395,12 25 48.9,+33 32 48,10.27,V,,0.001,S1.8
,PC 1311+4635,13 13 22.8,+46 19 30,18.82,R,,0.001,H2
,NGC 5194,13 29 52.4,+47 11 41,13.47,V,,0.001,S2
,NGC 4639,12 42 52.5,+13 15 25,12.72,V,,0.001,S1.0
,NGC 4550,12 35 30.6,+12 13 15,13.54,V,,0.001,S3
,NGC 3738,11 35 47.1,+54 31 32,12.04,V,,0.001,H2
,SDSS J10390+4140,10 39 00.4,+41 40 08,17.6,V,,0.002,S1
,NGC 4548,12 35 26.5,+14 30 24,13.57,V,,0.002,S3
,NGC 4258,12 18 57.5,+47 18 14,11.65,V,,0.002,S2
,NGC 1058,02 43 29.9,+37 20 27,11.75,V,,0.002,S2
,Q 1200+4755,12 02 58.2,+47 39 11,18.99,R,,0.002,AG
,SDSS J12046+1827,12 04 36.1,+18 27 59,19.46,V,,0.002,AG
,NGC 4206,12 15 16.8,+13 01 27,12.8,V,,0.002,S
